#number jobs
70

#processing times
1 9
2 6
3 7
4 10
5 4
6 6
7 3
8 3
9 3
10 1
11 7
12 8
13 3
14 2
15 7
16 5
17 2
18 6
19 6
20 5
21 7
22 10
23 6
24 9
25 3
26 5
27 6
28 7
29 10
30 6
31 7
32 6
33 3
34 8
35 3
36 8
37 9
38 10
39 8
40 10
41 8
42 5
43 3
44 1
45 4
46 7
47 10
48 8
49 1
50 7
51 8
52 5
53 3
54 1
55 4
56 7
57 10
58 8
59 1
60 7
61 8
62 5
63 3
64 1
65 4
66 7
67 10
68 8
69 1
70 3

#precedence constraints
1 21
1 32
2 33
2 44
3 50
3 61
5 43
5 54
7 48
7 59
8 13
8 24
12 46
12 57
14 44
14 55
17 28
17 39
18 24
18 35
20 40
20 51
21 46
21 57
22 33
22 44
23 31
23 42
25 28
25 39
27 34
27 45
29 42
29 53
31 43
31 54
32 45
32 56
33 38
33 49
34 44
34 55
36 49
36 60
37 43
37 54
38 43
38 54
41 43
41 54
42 46
42 57
43 45
43 56
48 64
48 5
52 44
52 55
55 49
66 60
60 70
60 11
63 43
63 54
65 43
65 54
67 46
67 57
70 45
70 56
